collected_at,product_code,product_name,product_url,screen_size,display_type,resolution,refresh_rate,hdr,smart_features,full_spec,registration_month,fetch_status,error
2026-06-27T06:20:37+09:00,99735026,시스메이트 더 갤러리 QB50F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99735026&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1133x654x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,98924621,시스메이트 더 갤러리 QB50F-WTE (본체),https://prod.danawa.com/info/?pcode=98924621&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1133x654x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,99893918,시스메이트 더 갤러리 QB55F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99893918&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1247x718x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,98924636,시스메이트 더 갤러리 QB55F-WTE (본체),https://prod.danawa.com/info/?pcode=98924636&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1247x718x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,99735062,시스메이트 더 갤러리 QB65F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99735062&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 400x300mm / 크기(가로x세로x깊이): 1466x841x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,98924657,시스메이트 더 갤러리 QB65F-WTE (본체),https://prod.danawa.com/info/?pcode=98924657&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 400x300mm / 크기(가로x세로x깊이): 1466x841x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/10,ok,
2026-06-27T06:20:37+09:00,99893885,시스메이트 더 갤러리 QH43F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99893885&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 979x567x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,98924807,시스메이트 더 갤러리 QH43F-WTE (본체),https://prod.danawa.com/info/?pcode=98924807&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 979x567x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,99893846,시스메이트 더 갤러리 QH50F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99893846&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1133x654x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,98924804,시스메이트 더 갤러리 QH50F-WTE (본체),https://prod.danawa.com/info/?pcode=98924804&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1133x654x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,99893897,시스메이트 더 갤러리 QH55F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99893897&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1248x718x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,98924789,시스메이트 더 갤러리 QH55F-WTE (본체),https://prod.danawa.com/info/?pcode=98924789&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1248x718x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,99747641,시스메이트 더 갤러리 QH65F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99747641&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 400x300mm / 크기(가로x세로x깊이): 1446x841x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,98924783,시스메이트 더 갤러리 QH65F-WTE (본체),https://prod.danawa.com/info/?pcode=98924783&cate=10248425,65인치(163cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(163cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 400x300mm / 크기(가로x세로x깊이): 1446x841x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
2026-06-27T06:20:37+09:00,99735038,시스메이트 더 갤러리 QM43F-WTE (벽걸이),https://prod.danawa.com/info/?pcode=99735038&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 979x567x37mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/09,ok,
